ID_x,HWSD2_SMU_ID,NSC_MU_SOURCE1,NSC_MU_SOURCE2,WISE30s_SMU_ID_x,HWSD1_SMU_ID_x,COVERAGE_x,SEQUENCE,SHARE_x,NSC,WRB_PHASES_x,WRB4_x,WRB2_x,FAO90_x,ROOT_DEPTH_x,PHASE1_x,PHASE2_x,ROOTS_x,IL_x,SWR,DRAINAGE_x,AWC_x,ADD_PROP_x,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_x,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,ID_y,WISE30s_SMU_ID_y,HWSD1_SMU_ID_y,COVERAGE_y,SHARE_y,WRB4_y,WRB_PHASES_y,WRB2_y,WRB2_CODE,FAO90_y,KOPPEN,TEXTURE_USDA_y,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_y,ROOT_DEPTH_y,AWC_y,PHASE1_y,PHASE2_y,ROOTS_y,IL_y,ADD_PROP_y
12264,31816,,,WD30031816,31816,3,1,100,,ALha,ALha,AL,ALh,1.0,,,,,,MW,163.0,0.0,D1,0,20,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0,12264,WD30031816,31816,3,100,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
12265,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,1.0,,,,,,MW,163.0,0.0,D1,0,20,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12266,31802,,,WD30031802,31802,3,1,70,,ALha,ALha,AL,ALh,1.0,,,,,,MW,163.0,0.0,D1,0,20,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0,12266,WD30031802,31802,3,70,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
12293,31816,,,WD30031816,31816,3,1,100,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D2,20,40,11,36,39,25,9.0,M,1.5700000524520874,1.7799999713897705,0.6420000195503235,5.199999809265137,0.699999988079071,10.0,10,31,6.0,4.0,39,46,1,0.0,0.0,0,12264,WD30031816,31816,3,100,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
12294,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D2,20,40,11,36,39,25,9.0,M,1.5700000524520874,1.7799999713897705,0.6420000195503235,5.199999809265137,0.699999988079071,10.0,10,31,6.0,4.0,39,46,1,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12295,31802,,,WD30031802,31802,3,1,70,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D2,20,40,11,36,39,25,9.0,M,1.5700000524520874,1.7799999713897705,0.6420000195503235,5.199999809265137,0.699999988079071,10.0,10,31,6.0,4.0,39,46,1,0.0,0.0,0,12266,WD30031802,31802,3,70,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
12322,31816,,,WD30031816,31816,3,1,100,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D3,40,60,13,35,37,28,5.0,M,1.590000033378601,1.8200000524520874,0.3700000047683716,5.199999809265137,0.5199999809265137,8.0,10,34,6.0,4.0,36,52,1,0.0,0.0,0,12264,WD30031816,31816,3,100,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
12323,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D3,40,60,13,35,37,28,5.0,M,1.590000033378601,1.8200000524520874,0.3700000047683716,5.199999809265137,0.5199999809265137,8.0,10,34,6.0,4.0,36,52,1,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12324,31802,,,WD30031802,31802,3,1,70,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D3,40,60,13,35,37,28,5.0,M,1.590000033378601,1.8200000524520874,0.3700000047683716,5.199999809265137,0.5199999809265137,8.0,10,34,6.0,4.0,36,52,1,0.0,0.0,0,12266,WD30031802,31802,3,70,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
12351,31816,,,WD30031816,31816,3,1,100,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D4,60,80,15,36,36,28,5.0,M,1.6100000143051147,1.8200000524520874,0.28299999237060547,5.099999904632568,0.4699999988079071,7.0,11,36,7.0,3.0,33,56,2,0.0,0.0,0,12264,WD30031816,31816,3,100,ALha,ALha,AL,2,ALh,C,9.0,1.690000057220459,1.4700000286102295,MW,1,163,,,,,0.0
