ID_x,HWSD2_SMU_ID,NSC_MU_SOURCE1,NSC_MU_SOURCE2,WISE30s_SMU_ID_x,HWSD1_SMU_ID_x,COVERAGE_x,SEQUENCE,SHARE_x,NSC,WRB_PHASES_x,WRB4_x,WRB2_x,FAO90_x,ROOT_DEPTH_x,PHASE1_x,PHASE2_x,ROOTS_x,IL_x,SWR,DRAINAGE_x,AWC_x,ADD_PROP_x,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_x,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,ID_y,WISE30s_SMU_ID_y,HWSD1_SMU_ID_y,COVERAGE_y,SHARE_y,WRB4_y,WRB_PHASES_y,WRB2_y,WRB2_CODE,FAO90_y,KOPPEN,TEXTURE_USDA_y,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_y,ROOT_DEPTH_y,AWC_y,PHASE1_y,PHASE2_y,ROOTS_y,IL_y,ADD_PROP_y
18323,1694,,,WD20001694,1694,4,4,10,,ARbr,ARbr,AR,ARb,,,,,,,SE,,0.0,D5,80,100,36,89,6,5,12.0,C,1.409999966621399,1.2799999713897705,0.10199999809265137,6.800000190734863,0.2199999988079071,8.0,4,45,4.0,3.0,83,0,5,4.0,1.2999999523162842,0,79099,WD20001694,1694,4,50,ARpr & ARay,ARpr,AR,4,DS,B,,,-4.0,,1,0,,,,,0.0
18487,1694,,,WD20001694,1694,4,4,10,,ARbr,ARbr,AR,ARb,,,,,,,SE,,0.0,D6,100,150,18,89,6,5,12.0,C,1.4800000190734863,1.2799999713897705,0.10700000822544098,6.900000095367432,0.23000000417232513,8.0,4,42,5.0,4.0,81,0,7,5.0,0.10000000149011612,0,79099,WD20001694,1694,4,50,ARpr & ARay,ARpr,AR,4,DS,B,,,-4.0,,1,0,,,,,0.0
18651,1694,,,WD20001694,1694,4,4,10,,ARbr,ARbr,AR,ARb,,,,,,,SE,,0.0,D7,150,200,29,88,6,6,12.0,C,1.659999966621399,1.340000033378601,0.09600000083446503,7.400000095367432,0.10000000149011612,7.0,4,62,2.0,2.0,73,0,5,4.0,0.10000000149011612,0,79099,WD20001694,1694,4,50,ARpr & ARay,ARpr,AR,4,DS,B,,,-4.0,,1,0,,,,,0.0
19883,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,1.0,,,,,,SE,72.0,0.0,D1,0,20,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
19889,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,1.0,,,,,,SE,72.0,0.0,D1,0,20,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
20026,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D2,20,40,23,87,6,7,12.0,C,1.6100000143051147,1.3899999856948853,0.20899999141693115,8.300000190734863,0.23000000417232513,10.0,4,46,17.0,17.0,98,0,3,5.099999904632568,0.10000000149011612,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
20032,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D2,20,40,23,87,6,7,12.0,C,1.6100000143051147,1.3899999856948853,0.20899999141693115,8.300000190734863,0.23000000417232513,10.0,4,46,17.0,17.0,98,0,3,5.099999904632568,0.10000000149011612,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
20169,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D3,40,60,24,88,5,7,12.0,C,1.6200000047683716,1.3899999856948853,0.15700000524520874,8.399999618530273,0.1899999976158142,12.0,4,42,17.0,17.0,99,0,3,5.300000190734863,0.30000001192092896,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
20175,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D3,40,60,24,88,5,7,12.0,C,1.6200000047683716,1.3899999856948853,0.15700000524520874,8.399999618530273,0.1899999976158142,12.0,4,42,17.0,17.0,99,0,3,5.300000190734863,0.30000001192092896,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
20312,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D4,60,80,21,88,5,7,12.0,C,1.600000023841858,1.3899999856948853,0.14299999177455902,8.399999618530273,0.20999999344348907,10.0,4,44,19.0,19.0,98,0,3,4.699999809265137,1.0,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
